"profread","female","famrisk","center","noreadbo","minority","halfdayK","wksesl","p1ageent_66"
1,1,0,1,0,0,0,0.12,5
1,0,0,0,1,0,1,0.48,0
1,0,1,1,0,1,1,0.43,-1
1,0,0,1,1,1,1,0.84,-4
1,1,1,1,0,1,1,0.06,5
1,1,0,1,0,1,1,0.58,0
1,0,0,1,0,1,1,0.31,-3
1,0,1,1,0,1,1,-0.47,-2
1,0,0,0,0,1,0,-0.48,5
1,1,0,0,1,0,0,-0.27,-2
1,1,0,1,0,0,1,0.5,4
1,1,0,1,0,0,1,1.39,-4
1,1,1,1,0,0,1,-0.34,2
1,1,0,0,0,1,1,-0.19,-1
1,1,0,0,0,0,0,-0.01,4
1,1,0,1,0,1,0,0.3,6
1,0,0,1,0,0,0,1,5
1,1,0,1,0,1,0,0.61,-4
1,0,0,1,0,0,0,1.87,9
1,0,0,1,0,0,1,0,0
1,1,1,1,0,1,1,0.5,-1
1,0,0,1,0,1,1,0.22,1
1,1,0,1,0,0,0,0.42,4
1,0,0,1,0,0,0,1.11,2
1,1,0,1,0,0,0,1.17,1
1,0,0,1,0,0,0,1.21,4
1,1,1,1,0,0,0,1.44,5
1,0,0,1,0,0,0,0.45,3
1,1,1,1,0,0,0,0.64,-5
1,1,0,1,0,0,0,0.49,-4
1,1,0,1,0,0,0,0.2,-4
1,0,0,1,0,0,1,-0.49,-5
1,0,0,1,0,0,1,0.38,4
1,1,0,1,0,0,1,1.49,-3
1,1,1,1,0,0,1,-1.06,-3
1,1,0,1,0,1,1,0.26,2
1,1,1,1,0,1,0,1.11,2
1,1,0,1,0,1,0,-0.06,-9
1,0,0,1,0,1,0,0.03,-5
1,1,0,1,0,1,0,2.28,-1
1,0,0,1,0,1,0,2.09,1
1,1,1,1,1,0,0,0.73,5
1,1,0,1,0,0,0,1.65,4
1,1,1,1,0,0,0,1.24,1
1,1,1,1,0,0,0,1.03,5
1,0,0,1,0,0,0,2.12,-3
1,0,0,1,0,0,0,1.65,1
1,1,0,1,0,0,1,0.69,4
1,1,1,1,0,1,0,0.17,1
1,1,0,1,1,1,0,-0.62,-3
1,1,0,1,0,1,0,-0.12,2
1,1,0,1,1,1,0,0.09,4
